Ensembl_ID_base,gene_name,gene_type,log2FC_7043,log2FC_7078,log2FC_7083,log2FC_8004,log2FC_8013,mean_log2FC,median_log2FC,mean_expression
ENSG00000154529,CNTNAP3B,protein_coding,-1.3129985905792108,-2.4228503955754945,-2.5465785050572176,-1.9083010068148747,-1.973543497891681,-2.0328543991836954,-1.973543497891681,162.75334351619998
ENSG00000147883,CDKN2B,protein_coding,-0.9347969420711468,-2.858907344553149,-2.152764014851126,-1.713831054243367,-2.4912838191643862,-2.030316634976635,-2.152764014851126,628.8004937066665
ENSG00000117122,MFAP2,protein_coding,-0.8063066748532268,-3.5290881768017064,-2.6268516589171416,-2.4441451448503084,-0.7351036290199389,-2.0282990568884642,-2.4441451448503084,437.17323402866657
ENSG00000119514,GALNT12,protein_coding,-2.371649827755751,-1.3723433557872142,-3.4781902310236927,-2.4983542669116585,-0.4203620022043397,-2.0281799367365307,-2.371649827755751,9.822739100399996
ENSG00000205129,C4orf47,protein_coding,-0.7543515094315909,-2.4734019285424877,-4.974156821479797,-0.6698189429710459,-1.2404187423107085,-2.022429588947126,-1.2404187423107085,12.189606053999999
ENSG00000049246,PER3,protein_coding,-2.9451922970504203,-1.898340484057659,-0.7456172949374391,-2.206742099207962,-2.2800939284755124,-2.0151972207457987,-2.206742099207962,92.2210074653333
ENSG00000185972,CCIN,protein_coding,-1.476350861222811,-1.296282843270105,-4.604730274794081,-1.4510649668972904,-1.1980337537414583,-2.005292539985149,-1.4510649668972904,15.946866276200002
ENSG00000152953,STK32B,protein_coding,-2.2148319638741483,-1.6870043855393821,-1.8987657826651971,-2.6367127201324294,-1.5857720778584539,-2.0046173860139223,-1.8987657826651971,30.39119962366667
ENSG00000133816,MICAL2,protein_coding,-0.9773351509217623,-1.9261514531962387,-2.688482606510574,-2.925121695848558,-1.4695595745982857,-1.9973300962150837,-1.9261514531962387,5900.575545000001
ENSG00000151640,DPYSL4,protein_coding,-1.4126696654442314,-2.1392382973925805,-1.814881127386232,-3.790945046490195,-0.8099552953762377,-1.9935378864178954,-1.814881127386232,177.49804455940003
ENSG00000146674,IGFBP3,protein_coding,-0.17759831910447765,-3.4872699400634612,-2.1204137079562937,-2.7217209003830884,-1.4347527341137347,-1.9883511203242112,-2.1204137079562937,14412.6823576
ENSG00000145934,TENM2,protein_coding,-0.7188661515002241,-3.208066999381777,-3.1865423458648765,-2.3189179776189777,-0.49495916033328413,-1.985470526939828,-2.3189179776189777,1094.640377124
ENSG00000260604,AL590004.3,lncRNA,-1.741904953820427,-2.5898573481183123,-1.5529554711571238,-2.1471323951517993,-1.877933268893334,-1.9819566874281989,-1.877933268893334,157.718817654
ENSG00000142949,PTPRF,protein_coding,-1.3292240123639232,-2.6748171349496612,-1.8362990982014695,-2.2188935880450114,-1.816605458010919,-1.9751678583141967,-1.8362990982014695,724.1836693299999
ENSG00000286518,AL354743.1,lncRNA,-2.3357784540484454,-0.7074288349138937,-3.29289349826024,-1.5812655782821805,-1.9430300082672733,-1.9720792747544067,-1.9430300082672733,21.298662717266666
ENSG00000112379,ARFGEF3,protein_coding,-0.7402743648803491,-2.196064807905359,-2.8250481595780608,-2.7517666051954373,-1.3061571141879798,-1.963862210349437,-2.196064807905359,5.5402712733333335
ENSG00000186340,THBS2,protein_coding,-1.3637937744587045,-3.738819280619568,-1.6978847772256156,-2.3396831029961493,-0.6707105452617057,-1.9621782961123486,-1.6978847772256156,13805.277023200002
ENSG00000133110,POSTN,protein_coding,-1.4308078703971017,-2.9514299551759446,-1.4547920789093478,-2.078782528185174,-1.8817531142456705,-1.9595131093826477,-1.8817531142456705,26560.700316933333
ENSG00000049192,ADAMTS6,protein_coding,-1.1715238943825526,-2.273892470554177,-2.062211029405786,-2.4915955556300258,-1.7928641139529446,-1.958417412785097,-2.062211029405786,917.3584376066666
ENSG00000114115,RBP1,protein_coding,-2.901652150837259,-1.508573270657391,-3.4781902310236927,-0.5732169471660753,-1.3299727258152414,-1.9583210650999319,-1.508573270657391,6.195597625133333
ENSG00000225383,SFTA1P,lncRNA,-1.418050654580385,-1.5012333977055237,-0.3675069406180005,-4.386835756555172,-2.1177279752588962,-1.9582709449435953,-1.5012333977055237,29.426078470666663
ENSG00000170425,ADORA2B,protein_coding,-1.5919613369622692,-2.8776269264981957,-1.1572006449148082,-2.3883400933327272,-1.7670121427271948,-1.9564282288870392,-1.7670121427271948,38.693877811600004
ENSG00000091986,CCDC80,protein_coding,-1.2105596875040376,-2.174334151174879,-2.8745884728977664,-2.2011975152396595,-1.2800872972356565,-1.9481534248103998,-2.174334151174879,15345.834786466665
ENSG00000219607,PPP1R3G,protein_coding,-1.9472886190979528,-2.2466080404912177,-1.5639227364784425,-1.9070612866141334,-2.0747864971887906,-1.9479334359741074,-1.9472886190979528,43.49863361033332
ENSG00000240764,PCDHGC5,protein_coding,-1.2395105608808943,-1.2935179421971548,-4.1068790873974645,-0.9170914097250731,-2.164780341626956,-1.9443558683655087,-1.2935179421971548,9.1383820638
ENSG00000169991,IFFO2,protein_coding,-1.2725729582987189,-2.3676947807927746,-1.688419926536568,-2.3250333949700472,-2.0677818557575023,-1.9443005832711222,-2.0677818557575023,675.8517208333334
ENSG00000257732,AC089983.1,lncRNA,-3.337129583332972,-0.8547247668060385,-1.010347407197445,-3.0967471976965912,-1.412269741980663,-1.9422437394027419,-1.412269741980663,6.701257536800001
ENSG00000186314,PRELID2,protein_coding,-1.6207478376138669,-1.5855601860034811,-3.55355321039128,-0.7439586687071653,-2.175105993296163,-1.9357851792023915,-1.6207478376138669,58.92201405626667
ENSG00000229628,AC073115.1,lncRNA,-1.285677492175136,-3.1693865818201945,-2.2924995974216373,-1.4727271179524282,-1.407003949636954,-1.92545894780127,-1.4727271179524282,28.101743860199992
ENSG00000144681,STAC,protein_coding,-2.0446698748778105,-2.6903465430299267,-1.2389323834606643,-2.4584840204630725,-1.1299022655540396,-1.9124670174771026,-2.0446698748778105,141.76916819866665
ENSG00000183840,GPR39,protein_coding,-1.6406074197318379,-0.7928838787761299,-5.149319042519763,-1.3811407944089544,-0.5578656646547007,-1.9043633600182772,-1.3811407944089544,27.576067211733335
ENSG00000162433,AK4,protein_coding,-1.320027792835127,-2.7428312707753726,-2.8655703134360806,-1.791051145713439,-0.7971560894949761,-1.903327322450999,-1.791051145713439,961.0171775000002
ENSG00000067840,PDZD4,protein_coding,-3.505447239134825,-0.8547247668060385,-3.719485028619155,-1.2327155730331811,-0.2037258310657739,-1.9032196877317944,-1.2327155730331811,6.517597276800001
ENSG00000149571,KIRREL3,protein_coding,-1.5214588269950005,-2.2453188498470062,-1.398519116198223,-2.0957560895727614,-2.253623394935164,-1.902935255509631,-2.0957560895727614,97.62464402266666
ENSG00000270562,AC097634.1,lncRNA,-1.9052562352818527,-2.0164406377289983,-3.207139511002764,-0.5638442681011195,-1.8144753747923397,-1.9014312053814149,-1.9052562352818527,19.0928533826
ENSG00000170558,CDH2,protein_coding,-1.558651544908093,-2.5321918838631614,-1.3078715857001093,-2.0470940424750097,-2.00675559226201,-1.8905129298416767,-2.00675559226201,4093.068420133333
ENSG00000116584,ARHGEF2,protein_coding,-1.4119567322843132,-2.369645357545359,-0.29985199500561244,-3.2998067484136815,-2.051577501223127,-1.8865676668944187,-2.051577501223127,1534.6758128933327
ENSG00000264301,LINC01444,lncRNA,-1.2910901336672764,-3.0776333319075366,-2.39416365011307,-1.0940864567146549,-1.5458317791185792,-1.8805610703042235,-1.5458317791185792,30.428604303200007
ENSG00000250241,AC105383.1,lncRNA,-1.0916406707791677,-3.400454990753862,-3.0180595489650557,-1.1885840109823964,-0.6967369127734342,-1.879095226850783,-1.1885840109823964,7.321659139933334
ENSG00000273084,AC092171.5,lncRNA,-1.2941008563005103,-2.003673899811094,-4.267470636369302,-1.0940864567146549,-0.7246891315437307,-1.876804196147858,-1.2941008563005103,13.98511218973333
ENSG00000106976,DNM1,protein_coding,-2.0302906793776323,-0.4936813461966154,-5.019981160087856,-0.13113464557140597,-1.6994505405212044,-1.8749076743509427,-1.6994505405212044,14.777957541533333
ENSG00000185760,KCNQ5,protein_coding,-1.4748783132418293,-2.398072539221359,-1.884560629712519,-1.6571729196500868,-1.9332023164011778,-1.8695773436453944,-1.884560629712519,79.26338707733335
ENSG00000100234,TIMP3,protein_coding,-1.5961518084832385,-2.81162289063837,-0.9196985928141981,-2.3399340316722324,-1.6582647863604905,-1.8651344219937058,-1.6582647863604905,13564.316031266668
ENSG00000151474,FRMD4A,protein_coding,-1.4896277863304936,-1.3609554728405868,-3.21793806212278,-1.8040612960164166,-1.4380784854335449,-1.8621322205487645,-1.4896277863304936,315.1907648313334
ENSG00000162591,MEGF6,protein_coding,-1.0113820377945686,-3.19799381045269,-0.8717205000820094,-2.9220431742602955,-1.2855061676926436,-1.8577291380564414,-1.2855061676926436,1230.5008277733332
ENSG00000137642,SORL1,protein_coding,-1.4028507009118543,-3.1837987668368677,-0.39727460446232987,-1.7832709377661466,-2.512495825131621,-1.855938167021764,-1.7832709377661466,5.816894160133333
ENSG00000138111,MFSD13A,protein_coding,-1.3530599114127768,-2.051647337685404,-1.6791055322817336,-2.333024330998183,-1.7619145817134316,-1.8357503388183058,-1.7619145817134316,10.8364153436
ENSG00000187720,THSD4,protein_coding,-1.320485908737841,-2.1789328048860552,-1.7269393903064199,-2.7139754546147463,-1.234361905384449,-1.8349390927859024,-1.7269393903064199,192.07224780800001
ENSG00000163347,CLDN1,protein_coding,-0.5775077197249066,-2.7354216089836187,-2.0154934131487776,-2.3835685726122775,-1.4563146851082966,-1.8336611999155754,-2.0154934131487776,7.609397445466668
ENSG00000074527,NTN4,protein_coding,-0.43624176862806685,-2.3700317214516122,-1.3348801051230925,-3.5403196815118427,-1.4488696008307844,-1.8260685755090797,-1.4488696008307844,1846.22197204
ENSG00000112078,KCTD20,protein_coding,-1.157735336672772,-1.4306717380455165,-2.99208112210939,-2.000168032602746,-1.5365084483069946,-1.8234329355474839,-1.5365084483069946,5532.585562133334
ENSG00000224259,LINC01133,lncRNA,-2.2083140291362344,-2.217140632640449,-0.9158164759922487,-1.8023651053433687,-1.9492749492406514,-1.8185822384705905,-1.9492749492406514,178.3170877386667
ENSG00000233098,CCDC144NL-AS1,lncRNA,-0.8180118447546754,-2.5228882605870666,-1.9137515823054314,-3.153825224965365,-0.6806878375790948,-1.8178329500383268,-1.9137515823054314,17.064111846
ENSG00000103888,CEMIP,protein_coding,-1.2570107865869282,-2.127546632295017,-1.9878447773082648,-2.142020334523444,-1.558904460777656,-1.8146653982982621,-1.9878447773082648,20470.434755266666
ENSG00000110427,KIAA1549L,protein_coding,-0.5427606340223825,-2.3390267792265336,-2.650438055789424,-2.2528439040193273,-1.2748396228802807,-1.8119817991875897,-2.2528439040193273,193.77173214
ENSG00000176490,DIRAS1,protein_coding,-1.597253036468575,-2.2820083324098777,-2.092140356807045,-2.1799482193194653,-0.9065817936943734,-1.8115863477398673,-2.092140356807045,130.489505952
ENSG00000170390,DCLK2,protein_coding,-0.7526127660279442,-2.7526440609179827,-1.5114995510947198,-1.9292586091764417,-2.086269607562177,-1.8064569189558533,-1.9292586091764417,278.28417200866664
ENSG00000262185,LINC02861,lncRNA,-1.1740749512489232,-1.6658524594641246,-2.9499001145937283,-1.677406537087207,-1.5547155373761368,-1.804389919954024,-1.6658524594641246,25.32616005713333
ENSG00000143867,OSR1,protein_coding,-0.4141917377353792,-1.5908746584292457,-2.2948903324724714,-3.7965457992412603,-0.9228730871983144,-1.8038751230153345,-1.5908746584292457,55.86008578333333
ENSG00000273117,INSIG1-DT,lncRNA,-2.7912976174610518,-0.004224126214352086,-4.0193409073352715,-0.3019144319416167,-1.86376358704567,-1.7961081339995926,-1.86376358704567,10.010808912199998
ENSG00000196526,AFAP1,protein_coding,-1.2385399430269395,-1.9514612896690178,-1.4321127753075462,-2.469668417337317,-1.881961225049844,-1.7947487300781328,-1.881961225049844,2183.3892859599996
ENSG00000159263,SIM2,protein_coding,-1.329986734739105,-2.101659302828562,-2.9812135373085327,-1.2095334761507983,-1.3483042313506317,-1.7941394564755258,-1.3483042313506317,65.42459769960001
ENSG00000124116,WFDC3,protein_coding,-1.1784497601609396,-1.0058809488869263,-3.92614611420067,-1.7516469756991437,-1.089486965926187,-1.7903221529747733,-1.1784497601609396,5.1930786164
ENSG00000135636,DYSF,protein_coding,-0.8859649329823043,-2.7157687417032372,-2.4581167694968693,-2.197283517969865,-0.6851739386590063,-1.7884615801622565,-2.197283517969865,269.910554718
ENSG00000180458,AC022148.1,lncRNA,-0.8818638233877532,-1.9157785411383976,-4.543292616141969,-1.0190912204485478,-0.5716466796504913,-1.786334576153432,-1.0190912204485478,9.289681226066667
ENSG00000276386,CNTNAP3P2,unprocessed_pseudogene,-1.3715464215350437,-2.8468059874039704,-2.3469765631142647,-0.8518626525273616,-1.512444846031082,-1.7859272941223445,-1.512444846031082,10.536935286133334
ENSG00000147852,VLDLR,protein_coding,-1.0276918839467175,-3.834108517031762,-0.3421248673353148,-1.436834765727566,-2.285594500713742,-1.7852709069510204,-1.436834765727566,442.39656711066675
ENSG00000088305,DNMT3B,protein_coding,-0.1606757860325052,-1.4050922872523541,-5.305498265949326,-1.7030975945141993,-0.3175806132527246,-1.7783889094002217,-1.4050922872523541,22.365448153400003
ENSG00000272620,AFAP1-AS1,lncRNA,-1.1751897498524477,-1.3800809072373659,-3.719485028619155,-1.3136452600385358,-1.2603013429210905,-1.7697404577337192,-1.3136452600385358,6.433350609266667
ENSG00000267577,AC010327.4,lncRNA,-0.06197789535379972,-1.963728099797322,-3.719485028619155,-3.0967471976965912,-0.0011340629274068093,-1.7686144568788549,-1.963728099797322,10.567859337733333
ENSG00000162746,FCRLB,protein_coding,-2.326238911879667,-1.8071647072115953,-1.3176645959395503,-1.7306965778357335,-1.6343844800044516,-1.7632298545741993,-1.7306965778357335,10.785304847866664
ENSG00000170909,OSCAR,protein_coding,-2.3977595233827045,-1.856577824765458,-1.010347407197445,-2.2317780705029193,-1.3061571141879798,-1.7605239880073014,-1.856577824765458,7.443142446133334
ENSG00000162572,SCNN1D,protein_coding,-1.3015116130930537,-1.3212016405356608,-4.663658107873344,-1.2985981845613277,-0.21432619478625847,-1.7598591481699288,-1.3015116130930537,14.5712937936
ENSG00000202048,SNORD114-20,snoRNA,-1.1772631593374103,-2.4031960127111747,-3.92614611420067,-0.13561657625846424,-1.1527613255993208,-1.758996637621408,-1.1772631593374103,14.003314421333332
ENSG00000061656,SPAG4,protein_coding,-0.5058067436809432,-1.982078938819126,-2.217199327283911,-2.68034010756629,-1.3783792429142014,-1.7527608720528942,-1.982078938819126,50.811306659133336
ENSG00000152377,SPOCK1,protein_coding,-0.9495156572633743,-2.442651413043407,-2.3073233931426955,-1.9506104303131249,-1.1057075183536575,-1.7511616824232519,-1.9506104303131249,1598.3383132133335
ENSG00000127561,SYNGR3,protein_coding,-1.7774223113136118,-0.7572831352179148,-3.0180595489650557,-2.4272324094808373,-0.7728912198418625,-1.7505777249638563,-1.7774223113136118,6.1559389998
ENSG00000100092,SH3BP1,protein_coding,-1.4109544894323778,-1.622851837501981,-3.92614611420067,-1.3709880076954428,-0.42126143356146306,-1.750440376478387,-1.4109544894323778,5.275917064866667
ENSG00000258021,AC025259.2,processed_pseudogene,-0.6482214324230666,-2.9954708549222513,-3.0180595489650557,-1.494645409192684,-0.5858855253517401,-1.7484565541709596,-1.494645409192684,6.1666523304
ENSG00000236609,ZNF853,protein_coding,-2.557829035854099,-1.1560720610733681,-3.6038764149794322,-1.2264264210296538,-0.1948592024740452,-1.74781262708212,-1.2264264210296538,10.114533435733332
